,State,District,CrimeCount
0,Andhra Pradesh,Anantapur,32011.0
1,Andhra Pradesh,Chittoor,20486.0
2,Andhra Pradesh,Cuddapah,41042.0
3,Andhra Pradesh,East Godavari,30146.0
4,Andhra Pradesh,Guntakal Railway,3002.0
5,Andhra Pradesh,Guntur,34770.0
6,Andhra Pradesh,Guntur Urban,19555.0
7,Andhra Pradesh,Krishna,28771.0
8,Andhra Pradesh,Kurnool,27216.0
9,Andhra Pradesh,Nellore,25341.0
10,Andhra Pradesh,Prakasham,28785.0
11,Andhra Pradesh,Rajahmundry,13990.0
12,Andhra Pradesh,Srikakulam,16104.0
13,Andhra Pradesh,Tirupathi Urban,11243.0
14,Andhra Pradesh,Vijayawada City,23776.0
15,Andhra Pradesh,Vijayawada Railway,3972.0
16,Andhra Pradesh,Visakha Rural,18983.0
17,Andhra Pradesh,Visakhapatnam,25178.0
18,Andhra Pradesh,Vizianagaram,14891.0
19,Andhra Pradesh,West Godavari,34014.0
20,Arunachal Pradesh,Anjaw,55.0
21,Arunachal Pradesh,Changlang,506.0
22,Arunachal Pradesh,Crime Branch,33.0
23,Arunachal Pradesh,Dibang Valley,43.0
24,Arunachal Pradesh,Kameng East,463.0
25,Arunachal Pradesh,Kameng West,346.0
26,Arunachal Pradesh,Kurung Kumey,219.0
27,Arunachal Pradesh,Lohit,316.0
28,Arunachal Pradesh,Longding,354.0
29,Arunachal Pradesh,Lower Dibang Valley,291.0
30,Arunachal Pradesh,Papum Pare City,2875.0
31,Arunachal Pradesh,Papum Pare Rural,417.0
32,Arunachal Pradesh,Siang East,1075.0
33,Arunachal Pradesh,Siang Upper,117.0
34,Arunachal Pradesh,Siang West,442.0
35,Arunachal Pradesh,Subansiri Lower,204.0
36,Arunachal Pradesh,Subansiri Upper,414.0
37,Arunachal Pradesh,Tawang,193.0
38,Arunachal Pradesh,Tirap,173.0
39,Arunachal Pradesh,Namsai,405.0
40,Arunachal Pradesh,Siang,154.0
41,Arunachal Pradesh,Kamle,60.0
42,Arunachal Pradesh,Kra Dadi,122.0
43,Arunachal Pradesh,Lower Siang,149.0
44,Arunachal Pradesh,Leparada,128.0
45,Arunachal Pradesh,Shiyomi,72.0
46,Arunachal Pradesh,Pakkessang,83.0
47,Assam,BIEO,263.0
48,Assam,Barpeta,24258.0
49,Assam,Baksa,5844.0
50,Assam,Bongaigaon,9971.0
51,Assam,CID,70.0
52,Assam,Cachar,22150.0
53,Assam,Chirang,3618.0
54,Assam,Darrang,14154.0
55,Assam,Dhemaji,5920.0
56,Assam,Dhubri,30170.0
57,Assam,Dibrugarh,15398.0
58,Assam,GRP,1908.0
59,Assam,Goalpara,12192.0
60,Assam,Golaghat,12146.0
61,Assam,Guwahati City,80993.0
62,Assam,Hailakandi,11196.0
63,Assam,Hamren,764.0
64,Assam,Jorhat,18968.0
65,Assam,Kamrup,26602.0
66,Assam,Karbi Anglong,3525.0
67,Assam,Karimganj,11118.0
68,Assam,Kokrajhar,5254.0
69,Assam,Lakhimpur,13511.0
70,Assam,Morigaon,13129.0
71,Assam,Dima Hasao,1129.0
72,Assam,Nagaon,25406.0
73,Assam,Nalbari,9105.0
74,Assam,RPO,208.0
75,Assam,SOU,0.0
76,Assam,STF,20.0
77,Assam,Sibsagar,12470.0
78,Assam,Sonitpur,12786.0
79,Assam,Tinsukia,15748.0
80,Assam,Udalguri,4857.0
81,Assam,Sadia,1171.0
82,Assam,Majuli,857.0
83,Assam,Biswanath,5085.0
84,Assam,Hojai,12003.0
85,Assam,South Salmara,4102.0
86,Assam,Charaideo,3160.0
87,Bihar,Araria,20592.0
88,Bihar,Arwal,4858.0
89,Bihar,Aurangabad,15292.0
90,Bihar,Bagaha,7789.0
91,Bihar,Banka,14145.0
92,Bihar,Begusarai,21613.0
93,Bihar,Bettiah,22898.0
94,Bihar,Bhabhua,11162.0
95,Bihar,Bhagalpur,21465.0
96,Bihar,Bhojpur,22770.0
97,Bihar,Buxar,12706.0
98,Bihar,Darbhanga,23376.0
99,Bihar,Gaya,36967.0
100,Bihar,Gopalganj,18848.0
101,Bihar,Jamalpur Railway,1791.0
102,Bihar,Jamui,12217.0
103,Bihar,Jehanabad,11070.0
104,Bihar,Katihar,17986.0
105,Bihar,Katihar Railway,1324.0
106,Bihar,Khagaria,13960.0
107,Bihar,Kishanganj,8288.0
108,Bihar,Lakhisarai,8460.0
109,Bihar,Madhepura,16346.0
110,Bihar,Madhubani,24030.0
111,Bihar,Motihari,47587.0
112,Bihar,Munger,11881.0
113,Bihar,Muzaffarpur,49243.0
114,Bihar,Muzaffarpur Railway,2486.0
115,Bihar,Nalanda,33364.0
116,Bihar,Naugachia,6379.0
117,Bihar,Nawadah,19811.0
118,Bihar,Patna,104955.0
119,Bihar,Patna Railway,5462.0
120,Bihar,Purnea,19363.0
121,Bihar,Rohtas,24946.0
122,Bihar,Saharsa,12862.0
123,Bihar,Samastipur,23611.0
124,Bihar,Saran,45135.0
125,Bihar,Sheikhpura,4508.0
126,Bihar,Sheohar,3785.0
127,Bihar,Sitamarhi,23891.0
128,Bihar,Siwan,22170.0
129,Bihar,Supaul,14058.0
130,Bihar,Vaishali,30505.0
131,Bihar,Economic Offences Unit,16.0
132,Bihar,Anti Terrorist Squad,0.0
133,Chhattisgarh,Balod,5571.0
134,Chhattisgarh,Balodbazar,14219.0
135,Chhattisgarh,Balrampur,4213.0
136,Chhattisgarh,Bemetra,5186.0
137,Chhattisgarh,Bilaspur,27217.0
138,Chhattisgarh,Bizapur,1469.0
139,Chhattisgarh,Dantewara,1764.0
140,Chhattisgarh,Dhamtari,4915.0
141,Chhattisgarh,Durg,27855.0
142,Chhattisgarh,Gariyaband,4159.0
143,Chhattisgarh,GRP Raipur,2968.0
144,Chhattisgarh,Jagdalpur,5471.0
145,Chhattisgarh,Janjgir,13452.0
146,Chhattisgarh,Jashpur,5060.0
147,Chhattisgarh,Kabirdham,5916.0
148,Chhattisgarh,Kanker,4243.0
149,Chhattisgarh,Kondagaon,2627.0
150,Chhattisgarh,Korba,10620.0
151,Chhattisgarh,Koriya,7555.0
152,Chhattisgarh,Mahasamund,7721.0
153,Chhattisgarh,Mungali,6142.0
154,Chhattisgarh,Narayanpur,1025.0
155,Chhattisgarh,Raigarh,13344.0
156,Chhattisgarh,Raipur,40037.0
157,Chhattisgarh,Rajnandgaon,16649.0
158,Chhattisgarh,Sarguja,7638.0
159,Chhattisgarh,Sukma,1164.0
160,Chhattisgarh,Surajpur,5965.0
161,Goa,North Goa,5211.0
162,Goa,South Goa,4482.0
163,Goa,CID,275.0
164,Gujarat,Ahmedabad City,91361.0
165,Gujarat,Ahmedabad Rural,9802.0
166,Gujarat,Amreli,6969.0
167,Gujarat,Anand,13502.0
168,Gujarat,Arvalli,6574.0
169,Gujarat,Banaskantha,15951.0
170,Gujarat,Bharuch,8650.0
171,Gujarat,Bhavnagar,14725.0
172,Gujarat,Botad,6656.0
173,Gujarat,Chhotaudepur,3615.0
174,Gujarat,CID Crime,172.0
175,Gujarat,Dahod,8596.0
176,Gujarat,Dang,609.0
177,Gujarat,Devbhumi Dwarka,5498.0
178,Gujarat,Gandhinagar,9807.0
179,Gujarat,Gir Somnath,5070.0
180,Gujarat,Jamnagar,9553.0
181,Gujarat,Junagadh,9279.0
182,Gujarat,Kachchh East(G),8764.0
183,Gujarat,Kachchh West(B),7783.0
184,Gujarat,Kheda,7926.0
185,Gujarat,Mahisagar,3080.0
186,Gujarat,Mehsana,14402.0
187,Gujarat,Morbi,12887.0
188,Gujarat,Narmada,3329.0
189,Gujarat,Navsari,18519.0
