,State,District,CrimeCount,Population,c_rate_per1000
0,JAMMU & KASHMIR,Kupwara,2340.0,870354,2.6885612061299193
1,JAMMU & KASHMIR,Kargil,464.0,140802,3.2954077356855724
2,JAMMU & KASHMIR,Rajouri,6621.0,642415,10.30642186125791
3,JAMMU & KASHMIR,Kathua,3528.0,616435,5.723231159814092
4,JAMMU & KASHMIR,Srinagar,8888.0,1236829,7.186118695470433
5,JAMMU & KASHMIR,Ganderbal,1887.0,297446,6.344008660395501
6,JAMMU & KASHMIR,Pulwama,1678.0,560440,2.994076083077582
7,JAMMU & KASHMIR,Anantnag,3063.0,1078692,2.8395501218141974
8,JAMMU & KASHMIR,Kulgam,2787.0,424483,6.565633959428292
9,JAMMU & KASHMIR,Doda,2509.0,409936,6.120467585184029
10,JAMMU & KASHMIR,Ramban,2697.0,283713,9.506085375009253
11,JAMMU & KASHMIR,Kishtwar,1344.0,230696,5.82584873599889
12,JAMMU & KASHMIR,Udhampur,4278.0,554985,7.708316440984891
13,JAMMU & KASHMIR,Reasi,2311.0,314667,7.344271881067923
14,JAMMU & KASHMIR,Jammu,15348.0,1529958,10.03164792759017
15,JAMMU & KASHMIR,Samba,3042.0,318898,9.539100276577464
16,HIMACHAL PRADESH,Chamba,3040.0,519080,5.856515373352855
17,HIMACHAL PRADESH,Kangra,10762.0,1510075,7.126798337830902
18,HIMACHAL PRADESH,Kullu,3865.0,437903,8.826155564131783
19,HIMACHAL PRADESH,Mandi,9084.0,999777,9.086026183838996
20,HIMACHAL PRADESH,Hamirpur,5567.0,454768,5.041271048687612
21,HIMACHAL PRADESH,Una,3276.0,521173,6.285820639211932
22,HIMACHAL PRADESH,Bilaspur,4726.0,381956,1.7742711165856806
23,HIMACHAL PRADESH,Solan,2670.0,580320,4.600909842845327
24,HIMACHAL PRADESH,Sirmaur,4029.0,529855,7.603967123080843
25,HIMACHAL PRADESH,Shimla,8326.0,814010,10.228375572781662
26,HIMACHAL PRADESH,Kinnaur,825.0,84121,9.80730138728736
27,PUNJAB,Gurdaspur,2984.0,2298323,1.2983379620706053
28,PUNJAB,Hoshiarpur,6970.0,1586625,4.392972504530056
29,PUNJAB,Fatehgarh Sahib,4096.0,600163,6.824812592579016
30,PUNJAB,Moga,4719.0,995746,4.7391603882917925
31,PUNJAB,Muktsar,5073.0,901896,5.624817052076958
32,PUNJAB,Faridkot,3323.0,617508,5.381306800883551
33,PUNJAB,Bathinda,8416.0,1388525,6.061108010298699
34,PUNJAB,Mansa,4279.0,769751,5.558940488547596
35,PUNJAB,Patiala,12747.0,1895686,6.724214875248327
36,PUNJAB,Tarn Taran,5786.0,1119627,5.167792488033961
37,PUNJAB,Sangrur,10170.0,1655169,6.144387672799575
38,PUNJAB,Barnala,4349.0,595527,7.302775524871248
39,CHANDIGARH,Chandigarh,10605.0,1055450,10.047846889952153
40,UTTARAKHAND,Uttarkashi,506.0,330086,1.5329338414837346
41,UTTARAKHAND,Chamoli,438.0,391605,1.1184739724977977
42,UTTARAKHAND,Tehri Garhwal,1108.0,618931,1.7901833968568388
43,UTTARAKHAND,Dehradun,9937.0,1696694,5.856683644782146
44,UTTARAKHAND,Pithoragarh,732.0,483439,1.5141517337244201
45,UTTARAKHAND,Bageshwar,446.0,259898,1.7160578380749372
46,UTTARAKHAND,Almora,366.0,622506,0.587946140278166
47,UTTARAKHAND,Champawat,460.0,259648,1.7716292827212226
48,UTTARAKHAND,Nainital,5194.0,954605,5.44099391895077
49,HARYANA,Panchkula,8967.0,561293,15.975613449659983
50,HARYANA,Ambala,13395.0,1128350,11.871316524128153
51,HARYANA,Yamunanagar,15908.0,1214205,13.101576751866448
52,HARYANA,Kurukshetra,15006.0,964655,15.555820474677477
53,HARYANA,Kaithal,11980.0,1074304,11.151405933516024
54,HARYANA,Karnal,23227.0,1505324,15.429900805408005
55,HARYANA,Panipat,22557.0,1205437,18.7127158034804
56,HARYANA,Sonipat,18093.0,1450001,12.477922429019014
57,HARYANA,Jind,14690.0,1334152,11.010739406004713
58,HARYANA,Fatehabad,11573.0,942011,12.285419172387584
59,HARYANA,Sirsa,13146.0,1295189,10.149870018970203
60,HARYANA,Bhiwani,15052.0,1634445,9.209242281018938
61,HARYANA,Rohtak,21534.0,1061204,20.292045638727334
62,HARYANA,Jhajjar,12870.0,958405,13.428560994569102
63,HARYANA,Rewari,14718.0,900332,16.347302994895216
64,HARYANA,Faridabad,40299.0,1809733,22.267925710588244
65,NCT OF DELHI,North,62656.0,887978,70.56030667426445
66,NCT OF DELHI,East,86784.0,1709346,50.770294603901135
67,NCT OF DELHI,New Delhi,14243.0,142004,100.29999154953381
68,NCT OF DELHI,Central,50649.0,582320,86.97795026789395
